sex,age,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,studytime,failures,schoolsup,famsup,paid,activities,higher,romantic,famrel,freetime,goout,health,absences,avg_grade,alc
F,17,GT3,T,2,1,services,other,mother,2,0,no,yes,no,yes,yes,no,4,3,5,4,4,14.666666666666666,1.0
M,18,LE3,T,4,4,other,other,father,1,0,no,yes,no,no,yes,no,4,2,5,5,2,9.333333333333334,1.0
F,15,GT3,T,4,3,services,other,mother,1,0,no,no,yes,yes,yes,no,4,5,5,1,4,17.0,1.0
F,17,GT3,T,2,2,at_home,other,mother,2,0,no,yes,no,no,yes,no,4,3,5,4,0,10.666666666666666,0.0
F,18,GT3,A,3,2,other,services,mother,2,0,no,no,no,no,no,yes,4,1,1,5,15,10.333333333333334,0.0
F,17,GT3,T,3,2,other,other,father,2,0,no,no,no,yes,yes,no,5,4,2,3,4,14.333333333333334,0.0
F,15,GT3,T,1,1,other,services,father,2,0,no,yes,yes,no,yes,no,4,4,2,5,0,10.0,0.0
M,16,LE3,T,4,3,services,other,mother,2,0,no,yes,no,yes,yes,no,5,4,2,5,6,12.333333333333334,0.0
F,16,GT3,T,2,2,services,services,mother,1,2,no,yes,yes,no,yes,no,1,2,2,5,14,7.666666666666667,1.0
F,15,GT3,T,2,2,at_home,other,mother,1,0,yes,yes,no,yes,yes,no,4,3,1,2,8,13.0,0.0
F,17,GT3,T,2,1,at_home,services,mother,2,0,no,no,no,yes,yes,no,2,1,1,3,2,11.666666666666666,0.0
F,16,LE3,T,1,2,other,other,mother,1,0,no,no,no,yes,yes,no,5,4,5,2,0,14.333333333333334,1.0
M,17,GT3,T,2,1,other,other,mother,1,3,no,yes,no,no,yes,no,5,4,5,5,0,1.6666666666666667,0.0
F,17,LE3,T,0,2,at_home,at_home,father,3,0,no,no,no,no,yes,no,3,3,3,2,0,15.333333333333334,1.0
F,17,GT3,T,1,1,other,other,mother,2,0,no,yes,no,no,yes,no,4,4,4,1,0,14.666666666666666,1.0
F,15,GT3,T,4,4,teacher,health,mother,2,0,no,yes,no,no,yes,no,3,3,3,2,2,14.0,0.0
F,17,LE3,T,4,2,teacher,services,mother,4,0,no,yes,no,yes,yes,no,4,2,3,4,2,15.333333333333334,0.0
F,18,GT3,T,3,4,other,other,mother,1,0,no,yes,no,yes,yes,yes,5,4,4,1,4,12.333333333333334,0.0
M,15,GT3,T,4,0,teacher,other,mother,4,0,no,no,no,yes,yes,no,3,4,3,1,0,11.333333333333334,0.0
M,19,GT3,T,1,1,other,services,mother,1,1,no,no,no,no,yes,no,4,3,2,5,0,3.6666666666666665,1.0
F,16,GT3,T,3,2,other,other,mother,2,0,no,yes,yes,no,yes,no,1,2,2,1,14,12.333333333333334,0.0
M,15,LE3,T,4,3,teacher,services,mother,3,0,no,yes,no,yes,yes,no,5,4,3,4,0,14.0,0.0
F,15,LE3,T,4,3,services,services,father,2,0,yes,no,no,yes,yes,yes,4,4,4,2,0,12.333333333333334,1.0
M,16,GT3,T,4,3,services,other,mother,1,0,yes,yes,yes,yes,yes,no,3,3,3,4,6,10.333333333333334,0.0
M,18,GT3,T,3,2,other,other,mother,3,0,no,no,no,yes,yes,no,5,3,2,3,1,12.333333333333334,0.0
F,17,GT3,T,3,2,health,health,father,4,0,no,yes,yes,yes,yes,no,5,2,2,5,0,17.333333333333332,0.0
M,17,GT3,T,2,2,services,other,mother,1,0,no,yes,no,no,yes,no,4,4,5,4,8,10.333333333333334,1.0
F,17,GT3,T,0,0,at_home,other,mother,1,0,no,yes,no,no,yes,no,4,4,3,5,0,10.666666666666666,0.0
M,15,LE3,T,4,2,teacher,other,mother,1,0,no,no,no,no,yes,no,3,5,2,3,10,18.666666666666668,0.0
M,17,LE3,T,4,4,teacher,other,mother,2,0,no,yes,no,yes,yes,no,4,4,4,5,0,10.0,1.0
M,18,GT3,T,4,2,health,other,father,2,0,no,yes,yes,yes,yes,yes,5,4,5,5,10,9.666666666666666,1.0
F,19,GT3,T,2,2,services,services,mother,2,0,no,yes,no,no,yes,no,4,3,3,5,0,10.333333333333334,0.0
F,15,GT3,T,1,2,at_home,other,mother,2,0,no,yes,no,no,yes,no,4,3,2,5,6,12.666666666666666,0.0
F,18,GT3,T,2,2,at_home,at_home,mother,3,0,no,yes,yes,no,yes,no,4,3,3,2,5,18.333333333333332,0.0
M,16,GT3,T,4,4,teacher,teacher,mother,1,0,no,yes,no,no,no,yes,3,3,2,5,0,4.333333333333333,0.0
M,15,GT3,T,4,3,teacher,services,father,4,0,yes,yes,no,no,yes,no,2,2,2,3,0,5.333333333333333,0.0
M,15,LE3,T,2,2,services,services,mother,2,0,no,no,yes,yes,yes,no,5,3,3,4,2,12.666666666666666,1.0
F,18,GT3,T,3,3,other,other,mother,2,0,no,no,no,no,yes,yes,4,1,3,1,1,16.0,0.0
F,15,GT3,T,1,2,other,services,mother,1,0,no,no,no,no,yes,no,5,1,2,1,3,12.333333333333334,0.0
M,18,GT3,T,4,4,other,other,mother,3,0,no,no,no,yes,yes,no,4,3,3,3,3,10.666666666666666,1.0
F,15,LE3,T,4,2,health,other,mother,2,0,no,yes,yes,no,yes,no,4,3,3,5,2,12.333333333333334,0.0
F,15,GT3,A,4,3,services,services,mother,2,0,no,yes,no,yes,yes,no,4,3,2,1,0,14.666666666666666,0.0
F,17,GT3,T,1,1,at_home,other,mother,3,1,no,yes,no,yes,yes,yes,4,3,4,5,0,3.6666666666666665,0.0
F,17,GT3,T,3,3,other,other,mother,3,0,no,no,no,yes,yes,no,3,2,3,4,2,13.333333333333334,0.0
M,22,GT3,T,3,1,services,services,mother,1,3,no,no,no,no,no,yes,5,4,5,1,16,7.333333333333333,1.0
F,18,LE3,A,1,2,at_home,other,mother,2,0,no,no,no,no,yes,no,4,4,3,4,0,13.0,0.0
M,15,GT3,T,2,3,other,services,father,1,0,yes,yes,yes,yes,yes,yes,3,2,2,3,2,11.333333333333334,1.0
F,16,GT3,T,4,2,teacher,services,mother,2,0,no,yes,yes,yes,yes,no,5,3,3,1,0,10.333333333333334,0.0
F,15,GT3,T,4,4,services,services,mother,1,0,yes,yes,no,no,yes,no,3,3,4,5,0,12.333333333333334,1.0
F,17,GT3,T,1,1,at_home,at_home,father,1,0,no,yes,no,yes,no,yes,3,5,5,4,3,10.333333333333334,1.0
M,20,GT3,A,3,2,services,other,other,1,2,no,no,no,yes,yes,no,5,5,3,5,0,14.666666666666666,0.0
F,15,GT3,T,1,1,other,other,mother,2,0,yes,yes,no,no,yes,yes,3,3,4,5,2,11.666666666666666,1.0
F,17,GT3,T,4,4,teacher,services,father,2,0,no,yes,yes,yes,yes,no,4,3,3,5,4,12.666666666666666,0.0
F,17,LE3,T,2,4,services,services,father,2,0,no,no,no,yes,yes,yes,4,3,2,5,0,14.666666666666666,0.0
M,17,LE3,A,4,4,health,other,mother,3,0,no,yes,no,no,yes,no,4,4,2,4,2,14.0,0.0
M,19,LE3,A,4,3,services,at_home,mother,2,0,no,yes,no,no,yes,no,4,3,1,1,4,12.666666666666666,0.0
F,16,LE3,T,2,2,services,services,mother,2,0,no,yes,yes,no,yes,no,4,3,3,4,2,12.666666666666666,1.0
F,17,GT3,T,2,2,other,other,mother,2,0,no,yes,no,no,yes,no,5,4,5,5,4,10.0,0.0
F,16,GT3,T,2,2,other,other,mother,4,0,no,no,no,no,yes,yes,5,2,3,3,1,13.0,1.0
M,16,LE3,T,4,4,teacher,health,father,1,0,no,yes,no,no,yes,no,4,1,2,5,0,11.666666666666666,1.0
F,18,GT3,T,3,3,other,other,mother,2,0,no,no,yes,no,yes,yes,4,1,3,1,0,15.0,0.0
M,18,LE3,T,1,1,other,services,father,1,0,no,no,no,no,yes,yes,3,3,2,3,4,10.0,0.0
M,15,GT3,T,2,2,health,other,mother,1,0,no,no,no,no,yes,no,4,3,3,4,1,12.666666666666666,0.0
F,16,LE3,T,4,3,teacher,services,mother,2,0,no,yes,no,yes,yes,no,5,4,3,1,2,15.333333333333334,0.0
F,18,LE3,A,2,1,other,other,mother,2,0,no,yes,no,no,yes,yes,4,3,4,5,2,12.333333333333334,1.0
M,15,GT3,T,2,3,other,other,mother,3,0,yes,no,yes,no,yes,no,5,3,2,5,4,10.666666666666666,0.0
M,15,GT3,T,3,4,other,other,mother,2,0,no,yes,yes,yes,yes,no,5,5,1,5,0,14.666666666666666,0.0
M,17,LE3,T,2,3,services,services,father,2,0,no,yes,no,no,yes,no,5,3,3,3,0,10.666666666666666,1.0
M,15,GT3,T,3,3,services,services,father,1,0,no,yes,no,yes,yes,no,4,3,3,3,11,11.0,1.0
F,19,GT3,T,1,1,at_home,services,father,1,1,no,no,no,no,no,no,5,5,5,2,0,1.6666666666666667,1.0
M,17,GT3,T,1,1,other,services,father,1,0,no,no,no,no,no,no,4,2,3,4,4,13.0,1.0
M,17,LE3,A,4,4,teacher,other,mother,2,0,no,yes,no,no,yes,no,3,3,3,4,0,12.0,1.0
M,18,GT3,T,2,2,services,other,mother,1,2,no,yes,no,yes,yes,no,3,3,3,4,0,3.6666666666666665,0.0
F,17,LE3,T,2,2,services,services,father,4,0,no,no,no,yes,yes,yes,3,4,1,2,2,11.0,0.0
M,16,GT3,T,3,1,other,other,mother,1,0,no,no,no,yes,yes,no,5,3,2,5,0,13.333333333333334,1.0
M,16,LE3,T,2,1,at_home,other,mother,1,1,no,no,no,yes,yes,yes,4,4,4,5,6,13.0,1.0
F,18,LE3,T,4,2,teacher,other,mother,2,0,no,yes,no,yes,yes,no,4,2,2,3,0,16.0,0.0
M,16,LE3,A,3,4,services,other,mother,2,0,yes,yes,no,yes,yes,no,5,3,3,5,4,11.0,0.0
M,17,GT3,T,3,2,services,services,mother,1,3,no,yes,yes,yes,yes,no,5,5,5,5,2,7.666666666666667,1.0
M,18,GT3,T,3,2,other,other,mother,1,0,no,yes,no,no,yes,no,2,5,5,5,8,10.0,1.0
F,16,LE3,T,2,1,other,services,mother,2,0,no,no,no,no,yes,yes,3,2,2,3,0,15.0,0.0
F,16,GT3,T,1,1,services,services,father,1,0,yes,yes,no,yes,yes,yes,5,5,5,5,0,12.0,1.0
M,16,LE3,T,2,2,services,services,father,1,2,no,yes,no,yes,yes,no,2,3,3,2,8,9.0,1.0
F,15,GT3,T,3,2,services,other,mother,2,0,yes,yes,no,no,yes,no,4,3,5,2,16,10.333333333333334,0.0
F,15,GT3,T,1,2,at_home,other,mother,2,0,no,yes,yes,no,yes,no,4,3,2,5,2,10.666666666666666,0.0
F,17,GT3,T,2,3,other,other,father,2,0,no,no,no,yes,yes,yes,4,2,1,3,2,12.333333333333334,0.0
F,15,GT3,T,2,1,services,other,father,3,0,no,yes,no,yes,yes,no,5,2,2,4,4,11.333333333333334,0.0
M,15,GT3,T,4,0,teacher,other,mother,4,0,no,no,no,yes,yes,no,3,4,3,1,8,10.666666666666666,0.0
M,16,GT3,T,1,0,other,other,mother,2,0,no,yes,no,yes,yes,yes,4,3,2,3,0,17.0,0.0
F,18,GT3,T,2,1,other,other,mother,2,0,no,yes,no,no,yes,yes,4,2,5,1,8,14.333333333333334,0.0
M,18,LE3,T,1,2,at_home,services,father,1,0,no,yes,yes,yes,no,yes,4,3,3,3,3,12.666666666666666,1.0
M,18,GT3,T,4,3,teacher,services,mother,3,0,no,no,no,no,yes,yes,5,3,2,4,9,15.666666666666666,0.0
M,15,GT3,T,4,4,other,other,father,4,0,no,yes,yes,yes,yes,yes,1,3,5,1,6,12.0,1.0
F,18,GT3,T,4,4,health,health,father,2,1,yes,yes,no,yes,yes,yes,2,4,4,4,15,8.333333333333334,0.0
F,18,GT3,T,4,3,other,other,father,4,0,no,yes,yes,no,yes,no,4,3,3,3,0,13.666666666666666,0.0
F,16,GT3,T,3,3,other,services,mother,2,0,yes,yes,no,yes,yes,no,4,3,3,5,4,11.0,1.0
F,16,GT3,T,1,3,at_home,other,father,1,0,no,yes,no,no,no,yes,4,3,3,5,11,10.666666666666666,1.0
M,18,LE3,T,3,4,services,other,mother,2,0,no,no,no,yes,yes,yes,4,3,3,5,11,15.333333333333334,1.0
M,18,GT3,T,4,3,teacher,other,mother,2,0,no,yes,yes,no,yes,no,4,3,2,3,2,8.0,0.0
F,17,GT3,T,4,2,other,other,mother,3,0,no,yes,no,yes,yes,no,4,3,4,5,2,12.333333333333334,1.0
M,17,GT3,T,2,2,other,services,mother,1,0,no,no,no,no,no,no,5,2,2,4,0,9.666666666666666,0.0
F,16,LE3,T,4,1,other,other,mother,2,0,no,yes,no,yes,yes,no,1,2,4,1,8,9.666666666666666,1.0
M,16,GT3,T,2,1,other,other,mother,1,0,no,no,no,no,yes,no,4,3,3,4,6,18.0,0.0
M,17,LE3,T,4,4,other,teacher,father,1,0,no,no,no,no,yes,no,4,1,1,5,0,12.666666666666666,1.0
M,16,LE3,A,4,4,teacher,health,mother,2,0,no,yes,no,no,yes,no,4,1,3,5,18,7.0,1.0
F,15,GT3,T,1,1,at_home,services,mother,1,1,no,yes,no,no,yes,yes,4,1,3,2,6,10.0,0.0
F,18,LE3,A,4,2,teacher,other,mother,2,0,no,no,no,yes,yes,yes,5,3,1,5,0,1.6666666666666667,0.0
M,16,LE3,T,4,1,other,at_home,father,1,0,no,no,no,no,yes,no,4,1,2,2,0,10.666666666666666,0.0
M,15,GT3,T,4,4,health,services,mother,2,0,no,yes,yes,no,yes,no,5,4,2,5,0,10.666666666666666,1.0
F,18,GT3,T,2,2,at_home,other,mother,2,1,no,no,no,yes,yes,yes,4,3,3,4,0,3.0,0.0
M,16,GT3,T,1,2,services,services,mother,1,0,no,yes,no,yes,yes,yes,3,3,3,3,0,10.0,0.0
F,17,GT3,T,4,4,health,health,father,2,0,no,yes,no,no,yes,no,5,2,5,5,0,14.666666666666666,0.0
F,18,GT3,T,2,2,at_home,other,mother,3,0,no,no,no,no,yes,no,5,3,3,4,0,15.333333333333334,1.0
F,18,GT3,T,2,2,at_home,other,mother,2,0,no,no,no,yes,yes,yes,4,2,5,2,2,9.666666666666666,0.0
M,18,GT3,T,4,4,teacher,services,mother,1,0,no,no,no,yes,yes,no,3,2,4,3,6,11.666666666666666,1.0
M,18,LE3,T,4,4,teacher,services,mother,3,0,no,no,no,no,yes,yes,4,2,2,5,0,15.666666666666666,1.0
M,17,GT3,T,3,3,services,services,mother,2,0,no,yes,no,yes,yes,yes,4,3,4,4,6,12.666666666666666,1.0
F,16,GT3,T,4,3,health,other,mother,2,0,no,yes,no,yes,yes,no,4,3,5,2,2,14.333333333333334,1.0
F,17,LE3,A,4,2,teacher,other,mother,2,0,no,yes,no,yes,yes,no,4,3,2,4,4,14.333333333333334,0.0
F,17,LE3,T,3,2,other,other,mother,2,0,no,no,yes,no,yes,no,4,4,4,1,2,14.666666666666666,1.0
F,18,GT3,T,4,4,health,health,father,2,1,yes,yes,no,yes,yes,yes,2,4,4,4,2,13.0,0.0
M,16,GT3,T,2,2,services,other,father,2,1,no,no,yes,yes,yes,no,4,4,2,3,12,10.333333333333334,0.0
F,16,GT3,T,4,3,teacher,other,mother,2,0,no,no,no,yes,yes,yes,1,3,2,1,4,14.666666666666666,0.0
F,15,GT3,T,4,4,teacher,teacher,mother,1,0,no,no,no,yes,yes,no,4,3,2,5,0,15.666666666666666,0.0
M,16,GT3,T,3,3,other,services,father,1,0,no,no,no,yes,yes,no,5,4,2,5,0,13.333333333333334,0.0
F,17,GT3,T,1,2,other,services,father,2,0,no,no,no,no,yes,no,3,2,2,3,0,11.666666666666666,0.0
F,19,GT3,T,4,4,health,other,other,2,0,no,yes,no,yes,yes,no,2,3,4,2,2,13.333333333333334,1.0
F,16,GT3,A,3,4,services,other,father,1,0,no,no,no,no,yes,no,3,2,1,5,12,14.0,1.0
F,18,GT3,A,1,2,at_home,other,mother,2,2,no,yes,no,no,yes,no,4,3,3,5,2,7.333333333333333,0.0
M,15,GT3,T,4,4,other,other,father,4,0,no,yes,no,yes,yes,yes,1,3,5,1,8,11.0,1.0
F,17,GT3,T,0,1,other,at_home,father,1,0,no,no,no,yes,yes,no,2,4,4,5,5,9.333333333333334,1.0
M,17,GT3,T,4,3,other,other,mother,2,0,no,yes,no,yes,yes,yes,5,2,3,2,4,10.333333333333334,0.0
M,15,GT3,T,1,1,other,other,mother,2,0,no,yes,no,yes,yes,yes,5,4,5,4,8,8.333333333333334,1.0
F,17,GT3,T,4,4,teacher,teacher,mother,3,0,no,yes,no,no,yes,yes,4,3,3,4,4,14.666666666666666,0.0
F,17,LE3,A,1,4,other,other,other,1,1,no,yes,no,no,yes,no,5,5,4,5,14,8.666666666666666,0.0
F,18,LE3,T,3,3,services,services,mother,4,0,no,yes,no,no,yes,no,5,3,3,1,7,16.0,0.0
F,18,LE3,T,4,4,teacher,services,mother,2,0,no,no,yes,yes,yes,no,5,4,3,2,4,9.0,1.0
M,16,GT3,T,4,4,services,services,mother,3,0,no,yes,no,yes,yes,no,5,3,3,5,0,13.666666666666666,1.0
F,16,GT3,T,4,2,services,other,mother,2,0,no,yes,no,no,yes,no,4,2,3,5,2,15.666666666666666,0.0
F,19,GT3,T,3,3,other,services,other,2,2,no,yes,yes,yes,yes,no,4,3,5,5,15,9.0,1.0
F,15,LE3,A,4,3,other,other,mother,2,0,yes,yes,yes,yes,yes,yes,5,2,2,5,4,10.666666666666666,0.0
M,15,GT3,A,4,4,other,services,mother,4,0,no,yes,no,yes,yes,yes,1,3,3,3,4,12.666666666666666,1.0
F,17,LE3,T,4,3,health,other,father,2,0,no,no,no,yes,yes,yes,3,2,3,3,14,13.333333333333334,0.0
F,18,GT3,T,1,2,at_home,at_home,father,2,0,no,yes,no,no,no,no,4,1,1,4,0,11.333333333333334,0.0
M,18,GT3,T,2,1,other,other,mother,1,0,no,no,no,yes,yes,yes,4,4,3,5,0,4.666666666666667,1.0
F,18,GT3,T,2,2,at_home,other,mother,4,0,no,no,no,yes,yes,no,4,4,4,4,0,6.333333333333333,0.0
F,16,GT3,T,4,3,teacher,health,mother,3,0,yes,yes,yes,yes,yes,no,3,4,4,4,2,9.333333333333334,1.0
M,18,LE3,T,2,1,at_home,other,mother,2,0,yes,yes,yes,yes,yes,yes,4,3,2,3,14,9.0,1.0
F,18,GT3,T,4,4,teacher,at_home,mother,1,0,no,yes,yes,yes,yes,yes,4,4,3,5,7,5.666666666666667,1.0
M,17,GT3,T,3,1,services,other,mother,2,0,no,no,yes,yes,yes,yes,5,4,4,5,2,9.333333333333334,1.0
M,15,GT3,T,4,4,services,teacher,father,2,0,no,yes,no,yes,yes,no,4,3,3,5,0,14.666666666666666,0.0
F,15,GT3,T,2,2,other,other,mother,4,0,yes,yes,no,no,yes,no,5,1,2,3,4,10.0,0.0
F,18,GT3,T,1,1,other,other,mother,2,1,no,no,no,yes,yes,no,1,1,1,5,0,3.6666666666666665,0.0
F,17,GT3,T,1,1,at_home,other,mother,2,0,yes,no,no,no,yes,yes,4,3,2,4,10,9.666666666666666,0.0
M,15,GT3,T,4,2,health,services,mother,1,0,no,no,yes,no,yes,no,2,2,4,1,4,15.333333333333334,1.0
M,17,GT3,T,3,4,at_home,other,mother,2,0,no,no,no,no,yes,no,5,4,5,5,0,3.3333333333333335,1.0
M,18,LE3,T,1,2,at_home,services,mother,1,0,no,yes,no,no,yes,no,4,1,4,1,8,10.666666666666666,1.0
M,18,LE3,T,1,3,at_home,services,mother,1,0,no,no,no,no,no,yes,4,3,3,3,0,9.333333333333334,1.0
M,15,LE3,A,3,2,services,other,mother,2,0,no,yes,yes,no,yes,no,4,2,2,1,0,17.666666666666668,0.0
F,16,GT3,A,2,1,other,other,mother,2,0,no,no,yes,yes,yes,yes,5,3,4,2,8,9.0,0.0
M,19,GT3,T,1,1,other,services,other,2,3,no,no,no,no,yes,no,5,4,4,2,8,7.666666666666667,1.0
F,17,GT3,T,3,2,at_home,other,father,2,1,no,no,no,no,yes,yes,4,5,4,5,0,10.0,0.0
M,17,GT3,T,2,3,other,services,father,2,0,no,no,no,yes,yes,no,4,4,3,3,2,10.666666666666666,0.0
F,16,GT3,T,2,3,other,services,mother,2,0,no,yes,no,no,yes,no,4,5,4,1,2,15.0,0.0
M,16,LE3,T,4,3,health,other,father,1,0,no,no,no,yes,yes,no,3,1,3,5,6,12.0,1.0
F,16,GT3,T,4,2,health,services,father,2,0,no,no,no,no,yes,yes,4,2,3,3,0,17.333333333333332,0.0
F,18,GT3,T,2,1,other,other,other,3,0,no,yes,yes,no,yes,yes,4,4,4,3,0,2.3333333333333335,0.0
F,16,LE3,T,4,4,services,services,father,1,0,no,yes,no,no,yes,no,5,1,3,5,1,11.0,0.0
F,18,LE3,T,1,1,other,at_home,mother,3,0,no,yes,no,no,yes,no,4,4,3,3,4,12.333333333333334,1.0
M,15,LE3,T,4,3,teacher,services,mother,3,0,no,yes,no,yes,yes,no,5,4,3,4,2,16.333333333333332,0.0
M,17,LE3,T,2,2,services,services,mother,4,1,no,yes,no,no,yes,no,1,3,5,3,2,9.0,1.0
F,18,GT3,T,2,1,services,other,mother,2,3,no,yes,no,yes,no,yes,5,4,5,5,10,9.0,1.0
M,19,GT3,T,3,3,other,other,other,2,1,no,yes,no,yes,yes,yes,4,4,4,3,20,14.0,0.0
F,18,GT3,T,3,3,services,services,mother,2,0,no,yes,no,no,yes,yes,4,3,2,3,6,12.666666666666666,1.0
F,17,GT3,A,2,2,at_home,at_home,father,2,0,no,yes,no,no,yes,yes,3,3,1,4,18,12.0,0.0
F,15,GT3,T,3,4,services,teacher,father,3,2,no,yes,no,no,yes,yes,4,2,2,5,0,4.0,1.0
M,18,LE3,T,3,2,services,other,mother,3,0,no,yes,yes,yes,yes,no,5,4,2,4,8,13.666666666666666,0.0
M,16,GT3,A,4,4,other,teacher,mother,3,0,no,yes,no,yes,yes,yes,2,4,3,5,7,15.333333333333334,0.0
M,16,GT3,T,4,4,health,other,father,2,0,no,yes,yes,yes,yes,no,4,2,4,1,2,13.333333333333334,1.0
M,18,GT3,T,3,2,other,other,mother,1,1,no,yes,no,no,yes,no,2,5,5,5,10,12.333333333333334,1.0
F,16,GT3,T,3,4,at_home,other,mother,2,0,no,yes,no,no,yes,no,2,4,3,3,14,11.333333333333334,0.0
F,17,GT3,A,4,4,other,teacher,mother,2,0,yes,yes,no,no,yes,no,4,1,4,1,2,12.0,0.0
F,16,GT3,T,4,4,other,other,mother,1,0,no,no,no,yes,yes,no,5,3,4,1,6,13.0,0.0
F,16,LE3,T,1,2,at_home,other,mother,2,0,no,no,no,yes,no,no,4,4,5,3,0,8.666666666666666,1.0
M,15,LE3,A,2,1,services,other,mother,1,0,no,no,no,no,yes,no,4,5,5,5,0,11.333333333333334,1.0
M,16,GT3,T,3,2,other,other,mother,1,0,no,yes,no,no,yes,no,5,4,3,5,4,12.0,0.0
F,18,LE3,A,2,4,services,other,mother,2,1,no,yes,no,no,yes,no,4,3,3,3,18,10.0,0.0
M,15,LE3,A,2,2,other,other,mother,4,0,no,yes,no,yes,yes,no,5,4,5,5,8,13.666666666666666,1.0
F,18,GT3,T,2,4,services,at_home,other,2,1,no,yes,yes,yes,yes,no,4,4,3,3,8,12.666666666666666,0.0
M,18,GT3,T,3,2,services,other,mother,1,1,no,no,no,no,no,no,4,4,5,5,0,7.333333333333333,1.0
M,18,LE3,T,4,3,teacher,services,mother,1,0,no,no,yes,yes,yes,no,4,2,3,1,8,10.333333333333334,0.0
M,15,GT3,T,2,3,at_home,services,mother,2,0,yes,no,yes,yes,yes,no,4,4,4,1,2,9.0,0.0
F,15,GT3,T,1,1,other,other,father,2,0,no,yes,no,yes,yes,no,4,3,2,4,2,9.666666666666666,1.0
F,17,LE3,T,2,2,services,other,mother,2,0,yes,yes,no,no,yes,yes,4,4,4,5,6,12.0,1.0
F,19,GT3,T,4,4,health,other,other,2,0,no,yes,yes,yes,yes,no,2,3,4,2,0,6.333333333333333,1.0
F,17,GT3,T,2,1,services,other,mother,2,0,no,yes,no,yes,yes,yes,4,3,4,1,10,14.0,1.0
M,17,LE3,T,4,3,health,other,mother,2,0,no,no,no,yes,yes,yes,2,5,5,5,8,15.0,1.0
M,15,GT3,T,4,4,health,health,father,1,0,no,yes,yes,no,yes,no,5,4,2,5,0,14.0,0.0
F,15,GT3,T,4,4,services,at_home,mother,3,0,no,yes,no,yes,yes,yes,4,3,3,5,0,3.6666666666666665,0.0
F,16,LE3,T,3,3,other,other,mother,2,0,no,yes,yes,yes,yes,no,4,4,5,4,4,10.0,0.0
F,17,GT3,T,2,2,other,at_home,mother,1,0,no,yes,no,yes,no,no,4,5,3,5,4,9.333333333333334,0.0
F,16,GT3,T,3,3,other,other,father,2,0,no,yes,yes,no,yes,no,4,3,2,5,4,8.666666666666666,0.0
M,18,GT3,T,1,3,at_home,other,mother,2,0,no,yes,yes,no,yes,no,3,3,4,3,4,10.0,1.0
M,17,LE3,T,4,3,teacher,other,mother,2,0,no,no,yes,yes,yes,no,4,4,4,4,4,9.333333333333334,1.0
F,18,GT3,T,1,1,other,other,mother,3,0,no,no,no,no,yes,no,4,3,2,4,2,8.666666666666666,0.0
M,17,GT3,T,2,1,other,other,mother,1,0,no,no,no,yes,no,yes,5,5,5,3,8,9.0,1.0
F,15,GT3,T,1,1,at_home,other,mother,1,0,no,yes,no,yes,yes,yes,4,3,3,4,6,12.0,0.0
F,16,GT3,T,1,1,at_home,other,father,2,0,no,yes,no,no,yes,yes,5,4,3,2,0,14.0,0.0
M,16,GT3,T,2,3,other,other,father,1,0,no,no,no,no,yes,no,5,3,3,3,0,13.666666666666666,0.0
